���X,���e
271,"Brenner v. World Boxing Council, 675 F.2d 445 (2d Cir. 1982) ;  North American Soccer League v. National Football League,  670 F.2d 1249, 1258-59 (2d Cir. 1982) ;  U.S. Trotting Assoc. v. Chicago Downs Assoc., Inc., 665 F.2d 781, 789-90 (7th Cir.  1981) ;  Gunter Harz Sports, Inc. v. United States Tennis Assoc., 511 F. Supp. 1103, 1115-16 (8th Cir. 1981) ;  Hatley v. American  Quarter Horse Assoc., 552 F.2d 646, 652 (5th Cir. 1977) ;  Neeld v. NHL, 594 F.2d 1297, 1298-1300 (9th Cir. 1979) ;  Mackey v.  NFL, 543 F.2d 606, 619 (8th Cir. 1976) ,  cert. denied,   434 U.S. 801, 54 L. Ed. 2d 59, 98 S. Ct. 28 (1977) ;  Cooney v. American  Horse Shows Assoc., 495 F. Supp. 424, 430 (S.D.N.Y. 1980) ;  Denver Rockets v. All-Pro Management Inc., 325 F. Supp.  1049, 1064-65 (C.D. Cal. 1971) ;  STP Corp. v. U.S. Auto Club, Inc., 286 F. Supp. 146 (S.D. Ind. 1968) ."
273,"See  Continental T.V., Inc. v. GTE Sylvania, Inc., 433 U.S. 36, 49, 97 S. Ct. 2549, 2557, 53 L. Ed. 2d 568 (1977) ,  citing  Chicago  Bd. of Trade v. United States, 246 U.S. 231, 238, 38 S. Ct. 242, 62 L. Ed. 683 (1918)  (under the rule of reason, ""the factfinder  weighs all of the circumstances of a case in deciding whether a restrictive practice should be prohibited as imposing an  unreasonable restraint on competition"").   Cf.  id. at 50 n.16, 97 S. Ct. at 2558  (in determining whether a particular commercial  practice should be prohibited  per se,  ""the probability that anticompetitive consequences will result from [the] practice and the  severity of those consequences must be balanced against its pro-competitive consequences""). See  National Society of Professional Engineers v. United States, 435 U.S. at 691, 98 S. Ct. at 1365 ,  quoting  Chicago Bd. of  Trade v. United States, 246 U.S. at 238, 38 S. Ct. at 244 , (""The true test of legality is whether the restraint imposed is such as  merely regulates and perhaps thereby promotes competition or whether it is such as may suppress or even destroy  competition."")"
275,"Total Hoosier sales (1,822 tires) X M&H market share (45%) X M&H gross profit per tire ($30) = $24,597."
277,"Interface Group, Inc. v. Gordon Publications, Inc. Reporter 562 F. Supp. 1235 *; 1983 U.S. Dist. LEXIS 17456 **; 1983-1 Trade Cas. (CCH) P65,466 Core Terms LexisNexis® Headnotes"
279,Opinion
283,See  discussion of trade show monopoly  infra .
287,"Custom Auto Body, Inc. v. Aetna Casualty & Surety Co. Reporter 1983 U.S. Dist. LEXIS 14941 *; 1983-2 Trade Cas. (CCH) P65,629 Core Terms Opinion Section 1  of the Sherman Act provides that:  ""Every contract, combination in the form of trust or otherwise, or conspiracy, in restraint or with foreign nations, is hereby  declared to be illegal.  Every person who shall make any contract or engage in any combination or conspiracy hereby declared  to be illegal shall be deemed guilty of a felony, and, on conviction thereof, shall be punished by fine not exceeding one million  dollars if a corporation, or, if any other person, one hundred thousand dollars, or by imprisonment not exceeding three years, or  by both said punishments, in the discretion of the court.""    15 U.S.C.  § 1 ."
288,"Plaintiff also contends that agreements between the defendant and certain insurance adjustment firms violate the Sherman Act.  Objection and Opposition at 12.  But plaintiff fails to advance any theory under which the Court could find such contracts to be  illegal restraints of trade.  It does not suggest that the contracts with adjusters by themselves restrain trade, nor does it indicate  that such agreements facilitate other types of illegal combinations.  The Court therefore concludes that plaintiff's allegations as to  the illegality of the defendant's agreements with insurance adjusters are without merit."
289,"The Court is nevertheless aware that the First Circuit has recently warned that Poller should not ""become a magic wand waved  indiscriminantly by those opposing summary judgment motions in antitrust actions.""  White v. The Hearst Corp., 669 F. 2d 14, 17  (1st Cir. 1982) , (quoting  Mutual Fund Investors v. Putnam Management Co., 553 F. 2d 620, 624 (9th Cir. 1977)) ."
290,"A threshold objection by defendant to this Court's jurisdiction can be disposed of without extended dicussion.  The defendant  contends that the Court lacks subject matter jurisdiction over this case because plaintiff has failed to establish that the alleged  restraint of trade affects interstate commerce.  See  15 U.S.C.  § 1  (prohibiting ""restraint of trade among the several States, or  with foreign nations . . ."").  The defnednat concedes that many of the parts and supplies which plaintiff purchases in the course  of its business come from outside of Rhode Island.  Defendant's Memorandum of Law at 24.  The defendant argues, however,  that the effect of any alleged illegalities is merely to divert business from one body shop to another without affecting the total  volume intrastate business or the total amount of parts and supplies purchased in interstate commerce.  However, if plaintiff is  successful in showing that the provider agreements between Aetna and certain body shops are used to limit the quality of repair  work performed, the requisite effect on interstate commerce could be shown.  This possibility that the defendant's practices as a  matter of practical economics may affect interstate commerce is sufficient to satisfy the Sherman Act's jurisdictional requirement.   McLain v. Real Estate Board of New Orleans, Inc., 444 U.S. 232, 242-43 (1980) ;  Cordova Simonpetri Insurance Agency, Inc. v.  Chase Manhattan Bank N.A., 649 F. 2d 36, 45 (1st Cir. 1981) ."
291,"The reasoning and analysis in Royal Drug were closely followed in the Supreme Court's most recent decision on McCarron- Ferguson immunity.  See  Union Labor Life Insurance Co. v. Pireno, 50 U.S.L.W. 4911, 4913  (U.S. June 29, 1982).   Participating pharmacies agreed to charge plan members only $2 for any prescription drug they dispensed.  The health  insurance company reimbursed participating pharmacies for only the actual cost of all drugs dispensed to plan members.  The  pharmacies in the plan thus received only a $2 markup on all drugs sold to plan members.   Royal Drug at 209 .   Plan members dealing with participating pharmacies had to pay only $2 for any prescription drug.  Members who dealt with  nonparticipating pharmacies had to pay the full price charged by the pharmacy, and received reimbursement amounting to only  75% of the difference between the price of the drug and $2.  Id."
292,"In D & B Auto Body, Inc. v. Firemen's Fund Insurance Co., Civ. No. 79-0550, a case involving antitrust issues identical to those  in the case at bar, the Court requested the participation of the Antitrust Division of the United States Department of Justice as  amicus Curiae.  In response to this invitation to this invitation, the Division submitted an excellent Memorandum of Law  discussing the relevant issues.  D & B Auto Body subsequently was dismissed pursuant to a stipulation by the parties.  The  Court nevertheless found the views of the Antitrust Division quite useful, and will cite them in this Opinion where appropriate.  In  connection with the McCarron-Ferguson immunity issue discussed above, the Court notes that the Justice Department agrees  that the vertical provider agreements at issue do not constitute ""the business of insurance"" within the meaning of the McCarran- Ferguson Act.  Memorandum of the United States at 6-7."
294,"See Plaintiff's Objection and Opposition at 3 and 11.   Monopsony is the economic term used to describe a market involving one buyer and numerous sellers.  It is the counterpart in  the buyer's market of monopoly.   The vertical provider agreements might also have anticompetitive effects if they facilitated the creation of horizontal cartels  between insurance companies or between automobile repair shops.  Workman v. State Farm Mutual Automobile Insurance Co.,  520 F. Supp. 610, 615-17 (N.D. Cal. 1981) ; Sausalito Pharmacy, Inc. v. Blue Shield of California, 1981-1 TRADE CASES at  75,609; Quality Auto Body, Inc. v. Allstate Insurance Co., 1980-2 TRADE CASES at 76,696. Likewise, the agreements might  violate the rule of reason if they were used by automobile repair shops as an instrument of predatory pricing.  Sausalito  Pharmacy, Inc. v. Blue Shield of California, supra, at 75,609. There is no contention in this case that automobile repair shops  have attempted to form a horizontal cartel or have engaged in predatory pricing.  Plaintiff's contentions with respect to the  existence of horizontal agreements between insurance companies are discussed in greater detail infra."
295,"The Justice Department takes the position that the vertical agreements in question do not violate the Sherman Act absent a  showing that ""insurance companies have the power to limit the amount of repair work performed for policyholders, that they  refuse to deal with any competent repair shop in the same terms available to other repair shops, or that there are other facts that  would render their actions unreasonably anticompetitive."" Memorandum of the United States at 11.   The Seventh Circuit in this case noted that:  ""When the rate is too low, some repair shops resort to dishonest practices in order to survive.  These practices include: (1)  charging for new parts but using old parts; (2) estimating parts that are not damaged; (3) straightening old parts but charging for  new parts; (4) inflating labor hours; (5) billing for repairs which have not been performed; and (6) offering rebates and bribes to  adjusters."" Quality Auto Body, Inc. v. Allstate Insurance Co., supra, 1204 n. 6 . The court went on to observe that, ""Although these deplorable practices may be prevalent in the auto repair industry, in and of  themselves they are not matters the antitrust laws were intended to address."" Id.  (emphasis in original).  This Court agrees with  the Seventh Circuit that unethical business practices which do not have a significant adverse effect on competition do not violate  the antitrust laws.  George R. Whitten, Jr., Inc. v. Paddock Pool Builders, Inc., 508 F. 2d 547, 560-2 (1st Cir. 1974) , cert. denied,  421 U. S. 1004 (1975) . However, if dishonest business practices are the result of a concerted effort to restrict output, a  significant adverse effect on competition may result, and the Sherman Act's rule of reason may be violated."
296,"Aetna comes very close to demonstrating that it does not attempt to restrict output by limiting the quality of repairs performed  by its preferred shops. Aetna's affidavits state that it recommends shops based on their ability to perform quality repairs at a  competitive price, and that it quarantees that workmanlike repairs can be performed for the amount of its estimate. Daffron  Affidavit at 5; Mistretta Affidavit at 2.  This is circumstantial evidence that Aetna has not conspired with preferred repair shops to  restrict output by performing inferior repairs. Absent an explicit denial that such an agreement exists, however, the Court cannot  say that this is sufficient to meet Aetna's burden of showing the absence of any genuine issue of material fact."
297,"Plaintiff appears to rely on the theory of conscious parallelism to prove the existance of a horizontal conspiracy. It claims that  the defendant and other insurance companies employ similar practices in settling claims, such as the use of the same  independent publication to determine repair times and new part prices.  Plaintiff suggests that the existence of these similiar  practices can only be explained as the result of a conspiracy between insurance companies.  The Supreme Court has indicated  that parallel behavior may be circumstantial evidence of the existence of an agreement or conspiracy. See  Interstate Circuit, Inc.  v. United States, 306 U.S. 208, 226-27 (1939) . But it is also clear that mere proof of parallel behavior without more does not  prove the existence of a contract, combination or conspiracy.  Theatre Enterprises, Inc. v. Paramount Film Distributing Corp., 346  U.S. 537, 541 (1954) ;  Naumkeag Theatres Co. v. New England Theatres, Inc., 345 F. 2d 910, 911-12  (1st Cir., cert. denied,  382  U.S. 906 (1965) .  In this case, plaintiff has failed to show that the similar practices employed by automobile insurance companies are anything  more than the result of the companies' independent pursuit of their economic self-interest.  Absent such a showing, the doctrine  of conscious parallelism in no way supports an inference of conspiracy. See  Quality Auto Body, Inc. v. Allstate Insurance Co.,  660 F.2d 1195, 1200-01 (7th Cir. 1981) , cert. denied,  102 S. Ct. 1717 (1982) ;  Workman v. State Farm Mutual Automobile  Insurance Co., 520 F. Supp. 610, 621 (N.D. Cal. 1981) ;  Sausalito Pharmacy, Inc. v. Blue Shield of California, 1981-1 TRADE  CASES P63,885 at 75,612 (N.D. Cal. 1981) ;  Chick's Auto Body v. State Farm Mutual Automobile Inesurance Co., 168 N.J.  Super. 68, 401 A. 2d 722, 730-31 (1979) , aff'd per curiam,  176 N.J. Super. 320, 423 A. 2d 311 (1980) .  The Court therefore need not dedcide whether an agreement between insurance companies to fix the price of automobile  repairs would be immune under the McCarran-Ferguson Act.   Such a claim would clearly be a challenge to ""the business of insurance"" within the meaning of the McCarran-Ferguson  exemption."
298,"Plaintiff appears to argue that even if the agreements between Aetna and its insureds are themselves immune under the  McCarran-Ferguson Act, the anticompetitive effects of such agreements are not.  Objection and Opposition at 11-12.  This  argument is completely without merit.  As the Justice Department points out, ""An antitrust exemption would be meaningless,  however, if it were forfeited to the extent that the exempted conduct produced anticompetitive effects."" Memorandum of the  United States at 14.  See  Royal Drug at 249  (Brennan, J. dissenting).  If the agreements satisfy the requirements of the  McCarran-Ferguson Act, they are exempt from the antitrust laws without regard to their possible anticompetitive effects.   In addition, under the McCarren-Ferguson Act the antitrust laws remain applicable to acts of boycott, coercion and intimidation  in the business of insurance.  15 U.S.C.  § 1013(b) .  The Court concludes for the reasons set forth in a subsequent section of this  opinion that the actions of defendant and its insureds cannot be said to constitute an act of boycott or coercion.  See pp. 30-34  infra."
299,"To trigger McCarran-Ferguson exemption, the system of state regulation need not completely duplicate the provisions of the  federal antitrust laws. The Court agrees with the Second Circuit's observations that:  ""The McCarran-Ferguson Act clearly contemplates that where a state undertakes to regulate the business of insurance, it has  the power to permit practices which would otherwise violate federal antitrust laws; if the exemption is only to apply when state  law squarely prohibits all acts which would, absent the exemption, violate the antitrust laws, the state regulation which the  McCarran-Ferguson Act aims to foster,  15 U.S.C.  §§ 1011 ,  1012(a) , would be a nullity."" Dexter v. Equitable Life Assurance Soc'y of the United States, 527 F. 2d 233, 236 (2d Cir. 1975) ; accord  Travelers Ins. Co. v.  Blue Cross of Western Pa., 481 F. 2d 80, 83 n. 10  (3rd Cir.); cert. denied,  414 U.S. 1093 (1973) ;  Ohio AFL-CIO v. Insurance  Rating Bd., 451 F. 2d 1178, 1181 (6th Cir. 1971) , cert. denied,  409 U. S. 917 (1972) .  The Justice Department takes the position that a combination between insurers and insureds which aggregates buying power  would not violate the antitrust laws in any case, absent some showing that insureds had agreed to pool their purchasing power  and restrict demand so as to lower the price of automobile repairs below the competitive level.  Memorandum of the United  States at 16.It seems at least unlikely that plaintiff could make such a showing at trial.  Because defendant is entitled to  summary judgment on McCarran-Ferguson grounds, however, the Court need not decide if defendant has met its burden of  showing that no genuine issue of fact exists as to this possible anticompetitive effect of the insurer-insured combination."
302,"Defendant in its Memorandum of Law cites the deposition of Richard Ruggiero, the plaintiff's president, in support if its position  that Fortin's statement was made without malice.  The Court has read the cited portion of the deposition and finds therein no  discussion whatsoever of the question of malice."
303,"Cia. Petrolera Caribe, Inc. v. Avis Rental Car Corp. Reporter 576 F. Supp. 1011 *; 1983 U.S. Dist. LEXIS 11185 **; 1984-1 Trade Cas. (CCH) P65,940 Core Terms Opinion Section 3 of the Clayton Act,  15 U.S.C. Sec. 14 (1976) , provides in pertinent part:"
304,"It shall be unlawful for any person engaged in commerce . . . to lease or make a sale . . . of goods, wares, merchandise,  machinery, supplies, or other commodities . . . for use, consumption, or resale . . . on the condition, agreement, or  understanding that the lessee or purchaser thereof shall not use or deal in the goods, wares, merchandise, machinery, the  goods, wares, merchandise, machinery, supplies, or other commodities of a competitor . . . of the lessor or seller, where the  effect (thereof) . . . may be to substantially lessen competition . . . Section 1  of the Sherman Act,  15 U.S.C. Sec. 1 , prohibits contracts, combinations and conspiracies in restraint of trade. Mr. Felipe M. Lopez is a director, Vice President and Treasurer, as well as a shareholder, of Caribe.  In addition, he is the  officer primarily responsible for the day-to-day operations of the company.  Lopez Deposition at 6, 8-9, 15."
305,"A copy of the standard rental agreement between Mr. Lopez and Avis was made an exhibit to the transcript of his deposition.  Lopez Deposition at 5;  Id.  Exhibit 1. A customer of Hertz or National also pays for gasoline only if the car rented is returned with less gas then when picked up.   Affidavit of Alberto Roque, (""Hertz Affidavit""), paragraph 4; Affidavit of Miguel A. Marrero (""National Affidavit"") paragraph 5. The  current provision of Avis' standard rental agreement pertaining to gasoline charges has been used by Avis since July 1977.  Avis  Affidavit, paragraph 4.  Hertz and National have used similar provisions at all times relevant to this action.  Hertz Affidavit,  paragraph 3; National Affidavit, paragraph 5."
307,"Mr. Felipe Lopez, Vice-President of Caribe, testified to his personal experience in renting a car from defendant Avis.  He  conceded that he was at no time told that he must buy gasoline from Avis; rather, he expressly acknowledged that the  defendants permit their customers to buy gasoline from any source, and do not force them to purchase it from the car rental  company.  Lopez Deposition at 93. This practice is based on market research indicating that car rental customers prefer to rent cars with a full tank of gasoline.  See, e.g. , Avis Affidavit para. 6; National Affidavit para. 6; Hertz Affidavit para. 5.  There may also be other business reasons for  such a practice.  Uniformity in the amount of gasoline in cars available for rental prevents unnecessary administrative expense  for the rental company.  For practical reasons, a full tank is the easiest to administer.  The Court finds these business  considerations far outweigh any anti-trust concerns the plaintiff has asserted. Affidavit of Felipe M. Lopez, para. 5.  The only other affidavit to address this issue simply incorporates the statements of Mr.  Lopez, and is entitled to no independent evidentiary weight.   See  Affidavit of C. Lopez-Pena, para. 2. The Court has reviewed Caribe's request for additional discovery to obtain facts in support of its claim.  In light of the plaintiff's  concessions during deposition testimony and the facts submitted by the defendants, the Court finds that no issue of material fact  concerning the alleged tie-in can be raised thereby.  Plaintiff's request, accordingly, is denied.   First Nat'l Bank of Arizona v.  Cities Serv. Co., 391 U.S. 253, 88 S. Ct. 1575, 20 L. Ed. 2d 569 (1968) ;  O. Hodgkins Sales Corp. v. Chrysler Corp., 327 F.  Supp. 1020 (D.Mass.1971) ."
