­¶½X,¤º®e,
194,"through which bids of subcontractors and suppliers electing to use the BID DEPOSITORY are received, processed and made  available to general contractors in accordance with the rules and regulations for the operation of said depository""; ""V. * * * upon receiving the delivery of bids he [the general contractor] agrees to accept and use the bid of the lowest bidder  using the depository. The bids filed with the Bid Custodian are retained as a check against any change of bids before or after  award to eliminate the opportunity of 'bid pedding' and 'bid shopping'; and  ""VII. The BID DEPOSITORY Rules and Regulations were established to implement a general plan whereby the practices of 'bid  peddling' and 'bid shopping' could he minimized and eliminated. The form signed by the general contractor is required under  Rule 9e which rule requires that the general contractor abide by the rules of the BID DEPOSITORY as to that particular job.""",
196,"""4. TIME OF DEPOSIT: All bids submitted through the Bid Depository shall be actually delivered to the Bid Custodian by mail,  or in person, or otherwise, as follows: Bid Depository Closing Time Schedule General Opening Depository Closing Time 9:00 AM 4:00 PM Previous Normal Working Day 10:00 AM 4:00 PM      Previous Normal Working Day 11:00 AM 4:00 PM Previous Normal Working Day 12:00 Noon 4:00 PM Previous Normal Working Day 1:00 PM 9:00 AM Same Day 2:00 PM 10:00 AM Same Day 3:00 PM 11:00 AM Same Day 4:00 PM 12:00 Noon Same Day 5:00 PM 1:00 PM Same Day",
197,"The Depository Closing Time shall be 1:00 P.M. of the same day on all projects where the Bid Opening for General Contractors  is after 5:00 PM."" ""9. DELIVERY OF BIDS:  ""a. The sealed envelopes containing bids addressed to the general contractors shall be made available for delivery to the  person or persons to whom addressed as soon as practicable after the expiration of the time for depositing bids upon the  project involved as specified in Rule 4 hereof, provided, however, that the general contractor may refuse to accept any  envelope containing the bid of a subcontractor with whom he does not desire to contract or any supplier from whom he  does not wish to purchase or the general contractor may reject the bid of any subcontractor with whom he does not desire  to contract or any supplier from whom he does not wish to purchase by immediately returning to the Bid Custodian,  unopened, the envelope containing the bid of such subcontractor or supplier.  ""A general contractor may refuse to accept all bids of a separate craft or classification. In the event of such rejection the  general contractor nevertheless may accept bids through the Bid Depository from subcontractors of other crafts and  suppliers of other classification.  ""b. If only one subcontractor in any particular craft or one supplier in any particular classification submits bid(s) to the  general contractors through the Bid Depository on a particular project, the Bid Custodian shall declare that particular craft or  classification for that particular project closed and shall return such bids unopened to the subcontractor, supplier or general  contractor thus submitting such bids, and no general contractor shall be given any bid in this particular craft or classification  from the Bid Depository. ""c. If a general contractor elects to receive delivery through the Bid Depository of one or more bids for a craft or  classification, he shall be obligated, and he hereby agrees, that if he is the successful prime bidder and receives an award  of the general contract, he will award the contract for this particular craft or classification to the lowest bidder whose bid he  receives through the Bid Depository. As used in these Rules, 'lowest bidder whose bid he received through the Bid  Depository' shall include a bid submitted by the general contractor under Rule 6c., subject to the terms and conditions of  said section.  ""d. The election of the general contractor shall he endorsed by him on the general contractor's bid acceptance form, and  thereupon he shall take and fully execute the form and deliver the same to the Bid Depository, whereupon the sealed  envelopes which he has elected to receive shall be made available to him at the Bid Depository for his use.  ""e. No sealed bid shall be delivered to a general contractor by the Bid Depository except in accordance with these Rules  and until the general contractor shall have executed the general contractor's bid acceptance form provided by the Bid  Depository. Such form shall require the general contractor to abide by the Rules of the Bid Depository as to the particular  project.""",
198,"In  Carl N. Swenson Co. v. E. C. Braun Co. (1969) 272 Cal. App. 2d 366 , 272 A.C.A. 447,  77 Cal. Rptr. 378  the case was  analyzed as follows: ""In the  Inland Bid Depository  case, the court held that group boycotts were illegal per se, constituting  restraints on trade in violation of the Cartwright Act. The court further held that a bid depository could not be allowed to operate  under rules which (1) prevent, preclude or in any manner limit any subcontractor from submitting a bid to a general contractor or  awarding authority on any construction project at any time prior to the time set by the awarding authority for the receipt of bids  upon any such construction project (2) limit or restrict, in any way, the amount of a bid submitted by a subcontractor to a general  contractor or awarding authority at any time prior to the time set by the awarding authority for the receipt of bids upon a  construction project; or (3) limit or in any way prevent a general contractor or awarding authority from receiving or considering  any bid which is or may be submitted to him by a subcontractor at any time prior to the time set by the awarding authority for the  receipt of bids upon a construction project."" (272 A.C.A. at p. 450,  77 Cal. Rptr. at p. 380 .) In Carl N. Swenson Co. v. E. C. Braun Co., supra, 272 A.C.A. 447,  77 Cal. Rptr. 378 , the court upheld a judgment which  denied the general contractor the right to recover from a subcontractor on an arbitration award made under bid depository rules  following the allegedly improper withdrawal of the subcontractor's bid. (Cf.   Drennan v. Star Paving Co. (1958) 51 Cal. 2d 409,  415, 333 P.2d 757 .) The court concluded that analysis of rules which limited the time and the manner in which a subcontractor's  bid could be withdrawn ""effectively demonstrates that said provisions, when viewed in the context of the other bid depository  rules which prohibit depository users from submitting or receiving bids outside the depository, do tend to stifle competition  between subcontractors and do further an illegal restraint of trade within the meaning of the  Inland Bid Depository  case."" (272  A.C.A. at p. 453,  77 Cal. Rptr. at pp. 381-82 .) In that case a bearing was denied by the Supreme Court on June 25, 1969,  Tobriner, J. voting for hearing. (See Tobriner & Jaffe, Revision of the Anti-Trust Laws (1932) 20 Cal.L.Rev. 585.) This refusal to  examine the questions presented in the  Inland Bid Depository  case insofar as they were carried forward in the later case, may  be balanced against the denial of a bearing by the  Supreme Court in Associated Plumbing Contractors of Marin etc. Counties,  Inc. v. F. W. Spencer & Son, Inc. (1963) 213 Cal. App. 2d 1, 28 Cal. Rptr. 425 , when the court stated, "" * * * the trial court  properly concluded that such restraints of trade as existed under the rules of the two associations were reasonable restraints of  trade in the public interest and justified by the circumstances."" ( 213 Cal. App. 2d at p. 8, 28 Cal. Rptr. at p. 429 .)",
199,"In fact the admitted facts tend to support a contrary finding. The defendant, which apparently considered itself free to shop the  bids received from him prior to the award of the general contract, was apparently only able to secure more favorable terms in  three of the seven categories in which he requested and accepted bids. That he secured more favorable terms is an assumption  that goes beyond the admitted facts. From all that appears the general contractor may have rejected the bids tendered for steel  decking by the bid depository, and the subcontractors be selected for painting and carpeting may in fact have been selected for  an equal price or on terms which permitted an equal or greater price if the general contractor was successful in getting the  award.  See, Note, op. cit., fn. 1, supra, 53 Va.L.Rev. at page 1724, ""As bid shopping becomes widespread in a given area, subs puff  their instant bids to leave room for later negotiations, thus fictionalizing the bidding process.""  (See also id.,  pp. 1732-1733 and  1738-1739.)  See, Note, op. cit., fn. 1, supra, 39 N.Y.U.L.Rev. at p. 818, ""The more trouble the general contractor and subcontractor have in  binding each other, the more the awarding authority-the third party with an interest in the bidding-may be hurt, either by having to  pay a higher price or by not getting the best product for his money."" (See, also,  id., pp, 825-826 .) See, Schultz, op. cit., fn. 1 above, 19 U. of Ch.L.Rev. at pp. 280-281, and at p. 285, where he states, ""Possibly, the firm offer  provision will be a boon to the owner, the one whom sub and general are supposed to serve, in terms of more efficient  construction at lower costs.""",
200,"The Court of Appeals noted, ""It was suggested that Rule V alone constituted a  per se  violation of  Section 1 ; however, since  the decision was based on the combined effect of Rules V, III and VIII, and their implementation, we need not determine whether  a  per se  violation occurred."" ( 352 F.2d at p. 819, fn. 5 .) ""6. SUBMISSION OF BIDS:  ""a Any subcontractor or supplier desiring to submit a bid to any person or persons through the Bid Depository shall submit to the  Bid Depository a separate and sealed bid addressed to each general contractor to whom the subcontractor or supplier desires to  bid and shall file with the Bid Custodian in a separate and sealed envelope addressed to the Bid Depository an identical copy of  each such bid filed by him.  ""B. Any general contractor who has received or solicited a bid direct from a subcontractor in a particular craft or supplier in a  particular classification upon any project and who desires to use the facilities of the Bid Depository upon that project for receiving  competitive bids in that craft or classification, shall submit to the Bid Depository such bid in a separate and sealed envelope  addressed to the general contractor and shall file with the Bid Custodian in a separate and sealed envelope addressed to the Bid  Depository an identical copy of each such bid filed by him, indicating on both the envelopes and the bid forms the subcontractor  or supplier whose bid is being submitted and the craft or classification covered by the bid.  ""c. A general contractor may submit through the Bid Depository in his own behalf a bid for any craft or classification as he may  elect. Such bid submitted shall be considered on the same basis as other bids the general contractor shall receive through the  Bid Depository from subcontractors or suppliers covering the same portion of work. In the event such general contractor's bid is  lower by 10%, or less, of the next low bid submitted through the Bid Depository by the subcontractors or suppliers, the general  contractor shall award the contract to the subcontractor or supplier submitting the low bid through the Bid Depository in  accordance with the agreement entered into by the general contractor and the subcontractor or supplier at the time of delivery of  bids. If the bid of the general contractor is low by more than 10% of the next low bid submitted through the Bid Depository, he  may either award the contract to the subcontractor or supplier submitting the low bid through the Bid Depository in accordance  with the agreement entered into by the general contractor and the subcontractor or supplier at the time of delivery of bids or he  may perform the work with his own work forces.",
201,"""d. Each of the sealed envelopes shall on its outside cover specify the project upon which the lad is made and the portion of the  work on the project covered by the bid."" ""13. GENERAL CONTRACT ADJUSTMENT: In the event that the awarding authority, after general bid opening, but prior to  award, negotiates with the general contractor for changes in plans and specifications resulting in a revision downward of the  general contract price, the general contractor shall negotiate such changes with the low bidder submitting bids through the  Depository in each particular craft or classification involved. In case no agreement is reached as the result of such negotiations,  bids for the particular craft(s) or classification (a) involved shall he resubmitted through the Bid Depository.""",
202,"Judge Yankwich also authored  United States v. San Francisco Electrical Const. Assn. (N.D.Cal.So.Div.1944) 57 F. Supp. 57   and  United States v. Heating, Piping & Air Conditioning Contractors Assn. (S.D.Cal.Cent.Div.1940) 33 F. Supp. 978 . In the latter  case he recognized that collusion between bidders, or bidders and others, price rigging, and division of the work are abuses  which should be struck down whether they utilize a bid depository or not. (See also  Local 175 etc. v. United States (6th Cir.  1955) 219 F.2d 431 ;  Las Vegas Merchant Plumbers Assn. v. United States (9th Cir. 1954) 210 F.2d 732 ;  United States v.  Northeast Texas Chapter (5th Cir. 1950) 181 F.2d 30 ; Annotation, Combination Among Contractors (1939) 121 A.L.R. 345; and  Annotation: Labor-Antitrust Laws (1963) 9 L. Ed. 2d 998, 1045-1050  and 1057-1058.) He apparently did not think it was  necessary to burn down the barn to kill the rats. By coincidence the  Christiansen  case is found reported in a volume containing a  testimonial to this brilliant jurist on his retirement (230 F. Supp. preface). The parties were restrained from ""(c) coercing, inducing, or attempting to coerce or induce, any contractor who has submitted  a bid through a bid depository operated by defendants, or any of them, to withdraw such bid after it has been opened,  announced, or published at such bid depository; and (d) soliciting, receiving, or accepting money or any other things of value as  an inducement to the withdrawal of any bid submitted through a bid depository operated by the defendants, or any of them, after  it has been opened, announced, or published at such bid depository."" ( 1959 Trade Cases, p. 75037 .)",
203,"""8. REVOCATION OF BIDS:  ""a. Any bid deposited with the Bid Depository may be revoked by the person submitting the same at any time prior to the  expiration of the time for depositing bids upon the project involved as specified in Rule 4 hereof. Notice of revocation of any bid  must be made in writing by the subcontractor or supplier or his authorized agent and any bids so revoked shall not be delivered  to the person or persons to whom addressed.  ""b. Any bid delivered to a general contractor as in these Rules provided, shall be deemed an irrevocable offer to such contractor  and may not be revoked thereafter without such general contractor's consent for a period of thirty (30) days from the date of  delivery to the general contractor or for such period as may be designated in the contract documents for acceptance of bids by  the Awarding Authority, unless, prior to general bid opening:  ""1. The subcontractor or supplier gives notice to all general contractors to whom he has bid of a substantial mistake, which  notice shall constitute revocation of the bids, and he shall likewise immediately give such notice to the Bid Depository or Bid  Custodian, or  ""2. The bid appears on its face to a bidding general contractor that it is an obvious and substantial mistake, in which case that  general contractor shall immediately notify the subcontractor or supplier giving the bid of the apparent mistake. The  subcontractor or supplier shall as soon as possible either revoke the bid to all general contractors (as under paragraph 1 above)  or confirm to the general contractor that the bid amount is correct.  ""c. In the event any such bid be revoked and cancelled under paragraph b above, the subcontractor or supplier submitting such  bid shall immediately pay to the Bid Depository a depository fee equal to 1% of the bid price provided, however, that such  depository fees payable by any one person upon any one project shall not exceed $ 500.00 or be less than $ 5.00.  ""d. In the event of bids submitted in combination, any segregated portion of the bid may be withdrawn as provided under Rule 8  without jeopardizing or invalidating other segregated portions of the bid. However, in addition to the segregated portion  withdrawn, any combination containing the item withdrawn must likewise be withdrawn."" ""20. SEVERABILITY: Any provision or condition of these Bid Depository Rules and Regulations which may be held to be void  or unenforceable by a court of competent jurisdiction shall be severable from the remaining provisions and conditions which shall  continue in full force and effect.""",
204,"""10. DEPOSITORY FEE: Any subcontractor or supplier obtaining a contract through a bid submitted through the Bid  Depository shall pay to the Oakland-Alameda County Builders' Exchange as a depository fee a sum equal to 1% of the bid price  provided, however, that the depository fee in no event shall exceed $ 500.00 or be less than $ 5.00. The said depository fee  shall be due and payable thirty (80) days after the time of the award of the contract by the general contractor to such  subcontractor or supplier. If paid within ten (10) days of the date of billing, there is a 5% discount allowable.  ""In the event a general contractor deposits a bid with the Bid Depository which has been received by him direct or solicited by  him, as provided in Rule 6 hereof, from a subcontractor or supplier not party to these Rules and Regulations, and such bid is the  lowest bid submitted through the Bid Depository, the said general contractor shall pay to the Oakland-Alameda County Builders'  Exchange the amount of the Bid Depository fee above, provided the general contractor is awarded the general contract by the  awarding authority. Said fee shall be due and payable thirty (30) days after the time of the award of the contract by the general  contractor to the said subcontractor or supplier. If paid within ten (10) days of date of billing, there is a 5% discount allowable. ""The Bid Depository Fees herein provided may be decreased but not increased by authorization of the Bid Depository  Committee of the Oakland-Alameda County Builders' Exchange from time to time without amendment of these Rules and  Regulations. There shall be an annual report of income and expenses of the Bid Depository to the Committee and to the Board  of Directors of the Builders' Exchange.",
205,"""The Bid Depository Committee of the Oakland Alameda County Builders' Exchange may at its option refuse to permit any  person who is delinquent in the payment of any fee provided in Rules 8 and 10 to use the facilities of the Bid Depository until all  such delinquent payments have been made.""",
207,"Similarly the conclusion of a learned and experienced author that ""These provisions clearly and plainly violate the antitrust  laws, * * *"" (Orick, op. cit., 19 Hastings L.J. at p. 522) must he read as referring conjunctively rather than severally to the four  types of rules which he lists. Since he refers to rules in which the subcontractors boycott nonusing general contractors, and in  which generals utilizing the depository boycott nonusing subcontractors, his observations are not controlling in this case.",
208,"La Fortune v. Ebie Reporter 26 Cal. App. 3d 72 *; 102 Cal. Rptr. 588 **; 1972 Cal. App. LEXIS 919 ***; 1972 Trade Cas. (CCH) P74,090 Core Terms LexisNexisÂ® Headnotes",
210,Headnotes/Summary Monopolies and Combinations Â§ 4?”Reversal and Remand?”Antitrust Issues.  Monopolies and Combinations Â§ 2?”Sherman Act.  Monopolies and Combinations Â§ 5?”Relation Between Sherman and Cartwright Acts.,
211,Contracts Â§ 76(5)?”Enforcement?”Contracts in Restraint of Trade?”Breach of  Antitrust Law  as Defense to Contract  Action.  Contracts Â§ 37?”Legality as Element of Contract?”When Issue May Be Raised.  Opinion,
213,Greenberg v. Equitable Life Assur. Society Reporter 34 Cal. App. 3d 994 *; 110 Cal. Rptr. 470 **; 1973 Cal. App. LEXIS 865 *** Core Terms LexisNexisÂ® Headnotes,
215,Headnotes/Summary Pleading Â§ 168?”Amendment and Withdrawal?”Amendments as of Course.  Pleading Â§ 168?”Amendments as of Course.,
216,Insurance Â§ 2 ?”Insurance Corporations and Other Insurers?”Statutory Provisions.  Appeal Â§ 967?”Scope and Extent of Review?”Pleadings?”Judgment on Demurrer.  Insurance Â§ 236?”Actions?”Civil Liability for Violation of Insurance Code.  Insurance Â§ 236?”Actions?”Exhaustion of Administrative Remedies.  Opinion,
217,The judge who overruled the demurrer to the original complaint did not hear the demurrer to the first amended complaint.,
218,"In  Chicago Title Ins. Co. v. Great Western Financial Corp., 69 Cal.2d 305 [70 Cal.Rptr. 849, 444 P.2d 481] , our Supreme Court,  in dealing with a demurrer to a complaint alleging restraint of trade by an insurance company, stated that  HN4 [ ] the Cartwright  Act which encompasses the general  antitrust law  of California is ""expressly superseded and contravened by the specific  provisions of the Insurance Code."" ( 69 Cal.2d at p. 322 .) After making that statement, the court recognized legal prohibitions  against trade restraint by insurers when it analyzed the complaint in painstaking detail to determine whether the pleading alleged  a cause of action in restraint of trade. While the opinion in  Chicago Title Ins . does not cite  section 790.03, subdivision (c) , that  provision is the only one other than the Cartwright Act imposing such a prohibition upon insurance companies. Tie-in agreements are inherently coercive.  Underlying the illegality of such agreements is the assumption that "". . . such  arrangements coerce the buyer into taking a product he doesn't want . . ."" (60 Nw.U.L.Rev. 626), and that "". . . buyers are forced  to forego their free choice between competing products."" (  Northern Pac. R. Co. v. United States, 356 U.S. 1, 6 [2 L.Ed.2d 545,  550, 78 S.Ct. 514] .)",
219,"Cf.   Levinson v. Bank of America, 126 Cal.App.2d 122 [271 P.2d 632] . Appellant's situation is different from the case where a  plaintiff declines an opportunity to amend a complaint to which a demurrer is sustained with leave to amend. In that case, he is  bound by the allegations of his complaint unaided by the possibility of correction by future amendment. Any other construction would overturn by implication the rule of  Crisci v. Security Ins. Co., 66 Cal.2d 425 [58 Cal.Rptr. 13, 426  P.2d 173] .  Insurance Code section 790.03  was amended after the trial of the case at bench to add subdivision (h)(5) which  defines as an unfair trade practice by an insurer the refusal to exercise good faith to effectuate settlements of claims. At most, the potential administrative remedy before the Insurance Commissioner bears upon the propriety of the class action  aspect of appellant's cause.  That issue is not before us.",
221,"Dayton Time Lock Service, Inc. v. Silent Watchman Corp. Reporter 52 Cal. App. 3d 1 *; 124 Cal. Rptr. 678 **; 1975 Cal. App. LEXIS 1428 ***; 1975-2 Trade Cas. (CCH) P60,625 Core Terms LexisNexisÂ® Headnotes",
222,Headnotes/Summary Monopolies and Restraints of Trade Â§ 3?”Agreements and Combinations?”Exclusive Dealing.,
223,"Franchise, Distribution, and Dealership Contracts Â§ 3?”Construction and Effect?”Territorial Limitation.  Franchise, Distribution, and Dealership Contracts Â§ 3?”Construction and Effect.  Franchise, Distribution, and Dealership Contracts Â§ 3?”Construction and Effect.  Franchise, Distribution, and Dealership Contracts Â§ 3?”Construction and Effect.  Appellate Review Â§ 107?”Briefs?”Form and Requisites?”Pointing out Errors?”Evidence.",
224,"Opinion The Silent Watchman Corporation is successor in interest to or has used the name of The Recording Devices Company, Lock- Tronic Corporation, Controlock Corporation and Dayton Time Lock Company.",
225,"The trial court found: ""4. The Original Agreement expressly withheld the exclusive right to lease and service Dayton Time Locks to chain organizations  from plaintiff. ""5. A chain organization as defined by the Original Agreement is any organization having a place of business in any of the states  of California, Oregon or Washington and in one or more states in addition thereto. ""6. Plaintiff may lease and service Dayton Time Locks in the states of Arizona and Nevada to chain organizations on a non- exclusive basis which have places of business in California, Oregon or Washington and branch business locations in the states  of Arizona and/or Nevada. ""7. Plaintiff has been granted no right to lease and service Dayton Time Locks in states other than California, Oregon,  Washington, Nevada and Arizona."" Paragraph 15 of the agreement provides: ""[Plaintiff] agrees that, during the life of this contract, and any renewal or extension  thereof, except as herein provided, it will not sell or lease any locks, devices or service of any kind in competition with the  business of [defendant], or use any time recording lock not supplied by [defendant] under this agreement.  It is specifically  understood that the above limitation excludes the present business of [plaintiff] in alarm exit locks and/or sequel locks.""",
226,"""2. The Original Agreement, and every provision contained therein, is clear and unambiguous. ""3. Under the terms of the Original Agreement defendant granted plaintiff the exclusive right to lease from defendant and  thereafter to service a door lock, manufactured by defendant known as 'Dayton Time Lock' in the states of California, Oregon,  and Washington. "". . . . ""10. The Amendatory Agreement, and every provision contained therein, is clear and unambiguous. ""11. The Amendatory Agreement did not grant plaintiff the right to lease the device known as the 'Controlock' from defendant. ""12. The Controlock is not within the meaning of the term 'improvement' as said term is used in paragraph 7 of the Original  Agreement. ""13. Plaintiff and defendant never contemplated nor intended that the Controlock would be included within or be the subject of  any of the provisions of either the Original or Amendatory Agreements. ""14. Defendant never agreed, orally or in writing, to supply plaintiff with the device known as the Controlock on any basis other  than an experimental or test basis. ""15. Plaintiff and defendant never agreed to a price to be charged if the Controlock were ever supplied to plaintiff by defendant  on any basis other than an experimental or test basis. ""16. Any Controlocks supplied to plaintiff by defendant were for testing purposes only and were not supplied under the Original  Agreement or the Amendatory Agreement. ""17. Neither defendant nor plaintiff by either act or conduct, interpreted or construed the provisions of the Original Agreement or  the Amendatory Agreement to include the Controlock.""",
227,"The court concluded: ""12. Plaintiff and defendant did not agree, either orally or in writing, that defendants, or any of them, would repay in any manner  for plaintiff's expenditure of any sum for the purchase of electric clock units manufactured in Japan. ""13. Plaintiff is not entitled to recover any damages from defendant to repay plaintiff for the purchase by plaintiff of 2000 clocks  manufactured in Japan.""",
229,"Saxer v. Philip Morris, Inc. Reporter 54 Cal. App. 3d 7 *; 126 Cal. Rptr. 327 **; 1975 Cal. App. LEXIS 1640 *** Core Terms LexisNexisÂ® Headnotes",
233,Headnotes/Summary Pleading Â§ 29?”Demurrer to Complaint?”Hearing and Determination.,
234,Parties Â§ 6?”Suing on Behalf of Class.  Monopolies and Restraints of Trade Â§ 1?”Under Cartwright Act.  Monopolies and Restraints of Trade Â§ 10?”Under Cartwright Act?”Remedies of Individuals.  Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations.  Monopolies and Restraints of Trade Â§ 10?”Under Cartwright Act?”Remedies of Individuals?”Pleading.,
235,Monopolies and Restraints of Trade Â§ 8?”Under Cartwright Act?”Offenses.  Monopolies and Restraints of Trade Â§ 10?”Under Cartwright Act?”Remedies of Individuals?”Pleading.  Monopolies and Restraints of Trade Â§ 10?”Under Cartwright Act?”Remedies of Individuals.  Monopolies and Restraints of Trade Â§ 2?”Definitions and Distinctions.  Monopolies and Restraints of Trade Â§ 8?”Under Cartwright Act?”Offenses?”Tying Arrangement.,
236,Monopolies and Restraints of Trade Â§ 8?”Under Cartwright Act?”Offenses?”Tying Arrangement.  Monopolies and Restraints of Trade Â§ 9?”Under Cartwright Act?”Offenses?”Prosecution.  Monopolies and Restraints of Trade Â§ 10?”Under Cartwright Act?”Remedies of Individuals?”Standing.  Opinion,
240,"Defendants contend that Saxer should not be allowed to act as both class representative and as one of the attorneys for the  class.  This contention lacks merit inasmuch as the court in  Daar v. Yellow Cab Co., 67 Cal.2d 695 [63 Cal.Rptr. 724, 433 P.2d  732] , implicitly sanctioned such dual representation. The Cartwright Act provides in part: ""A trust is a combination of capital, skill or acts by two or more persons for any of the  following purposes: (a) To create or carry out restrictions in trade or commerce.  . . .  (c) To prevent competition in  manufacturing, making, transportation, sale or purchase of merchandise, produce or any commodity.  . . .  (e) To make or enter  into or execute or carry out any contracts, obligations or agreements of any kind or description, by which they do all or any or  any combination of any of the following: . . .  (4) Agree to pool, combine or directly or indirectly unite any interests that they may  have connected with the sale or transportation of any such article or commodity, that its price might in any manner be affected.""  ( Bus. & Prof. Code, Â§ 16720 .)   Section 16702 of the Business and Professions Code  defines ""persons"" as "". . . corporations, firms, partnerships and  associations existing under or authorized by the laws of this State or any other State, or any foreign country.""   Section 16726 of the Business and Professions Code  states: ""Except as provided [herein] . . . , every trust is unlawful, against  public policy and void.""",
241,"Saxer initially argues that  section 16756 of the Business and Professions Code  outlines the pleading requirements for a  Cartwright Act violation in a civil action.  However, this contention was considered and rejected in  Chicago Title, supra, 69 Cal.2d  at pages 317-318 .",
243,"HN10 [ ] While both section 1 of the Sherman Act and  sections 16720  and  16726  of the Cartwright Act purport to prohibit all  restraints on trade, each has been interpreted to permit restraints found to be reasonable.  (  Standard Oil Co. v. United States,  221 U.S. 1, 60 [55 L.Ed. 619, 645, 31 S.Ct. 502, 516] ;  Corwin, supra, 4 Cal.3d at p. 853 .) Defendants contend that the homes and floor coverings are a single product rather than separate items.  This is a question of  fact to be resolved at trial.  (  Corwin, supra, 4 Cal.3d at pp. 858-859 .)",
246,"Lowell v. Mother's Cake & Cookie Co. Reporter 79 Cal. App. 3d 13 *; 144 Cal. Rptr. 664 **; 1978 Cal. App. LEXIS 1368 ***; 6 A.L.R.4th 184; 1978-1 Trade Cas. (CCH) P62,003 Core Terms LexisNexisÂ® Headnotes",
250,Headnotes/Summary,
251,"Interference Â§ 6?”Interference With Business Relations?”Interference With Prospective Economic Advantage.  Interference Â§ 8?”Interference With Business Relations?”Justification, Privilege, Defenses?”Justification as  Affirmative Defense?”Pleading.  Interference Â§ 7?”Interference With Business Relations?”Actions and Remedies?”Interference With Prospective  Economic Advantage.  Interference Â§ 8?”Interference With Business Relations?”Justification, Privilege, Defenses?”Giving Advice.  Interference Â§ 8?”Interference With Business Relations?”Justification, Privilege, Defenses?”Question of Fact.",
252,"Interference Â§ 8?”Interference With Business Relations?”Justification, Privilege, Defenses?”Privilege?”Financial  Interest in Business.  Interference Â§ 8?”Interference With Business Relations?”Justification, Privilege, Defenses?”Financial Interest?”State  of Mind of Defendant.  Pleading Â§ 31?”Demurrer to Complaint?”Hearing and Determination?”Amendment After Special Demurrer  Sustained?”Uncertainty or Imprecision.  Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations.  Monopolies and Restraints of Trade Â§ 7?”Under Cartwright Act?”Prohibited Agreements and Combinations??Monopoly.  Monopolies and Restraints of Trade Â§ 2?”Definitions and Distinctions?”Monopoly.",
253,Monopolies and Restraints of Trade Â§ 10?”Under Cartwright Act?”Remedies of Individual?”Necessity for Direct  Injury.  Unfair Competition Â§ 3?”Unfair Practices Act.  Opinion,
255,"Respondent at oral argument advanced for the first time the theory of justification based upon the giving of advice as described  in the  Restatement of Torts section 772 , and discussed in  Walsh v. Glendale Fed. Sav. & Loan Assn. (1969) 1 Cal.App.3d  578, 588-589 [81 Cal.Rptr. 804] . Reliance on this theory is misplaced since, as pointed out in comment a to the  Restatement of  Torts section 772 , one of the conditions of such justification is ""(1) that the advice be requested, . . ."" In the case at bench  nothing in the allegations of the Second Complaint remotely suggests that respondent was requested by the prospective  purchasers to give them any advice concerning the purchase of appellant's business.",
256,"Restatement of Torts section 768 , sets out in part that ""(1) One is privileged purposely to cause a third person not to enter  into or continue a business relation  with a competitor of the actor ."" (Italics added.)",
257,"Unless otherwise indicated, all references will be made to the California Business and Professions Code.",
259,"Scheuch v. Western World Ins. Co. Reporter 145 Cal. Rptr. 294 *; 1978 Cal. App. LEXIS 1649 **; 82 Cal. App. 3d 31 Core Terms Opinion Though the complaint purported to state only one cause of action, it also alleged a breach of contract, with plaintiff claiming to  be a third party beneficiary of the insurance contract between Western World and its insured. In her response to demurrer  plaintiff characterized this allegation as ""surplusage,"" and no question with respect thereto is raised on appeal. It would appear in  any event that third party beneficiary analysis would avail plaintiff nothing.",
260,"Unless otherwise indicated all statutory references are to the Insurance Code.   The reason for this was that the business of insurance was not deemed commerce within the meaning of the Commerce  Clause (U.S.  Const., art. I, Â§ 8 ,  cl. 3 ). (  Paul v. Virginia (1868) 75 U.S. (8 Wall.) 168, 183 [19 L.Ed. 357, 361] .)  ""Congress declares that the continued regulation and taxation by the several states of the business of insurance is in the public  interest, and that silence on the part of the Congress shall not be construed to impose any barrier or taxation of such business  by the several states."" ( 15 U.S.C.A.  Â§ 1011 .)  ""Nothing contained in this chapter shall render the said Sherman Act inapplicable to any agreement to boycott, coerce, or  intimidate, or act of boycott, coercion, or intimidation."" (15 U.S.C.A.  Â§ 1013b).)",
261,"It does not appear that the amount of the judgment against Circle K Riding Stables was in excess of its insurance coverage. In  any case appellant did not sue as assignee of any right of action Circle K might have against its insurer.  The granting of petition for hearing in Royal Globe Ins. Co. v. Superior Court (3 Civ. 17489) on June 1, 1978, places the issue  before our Supreme Court.   Of related interest is the court's rejection ( 17 Cal.3d at p. 946 ) of the further argument that plaintiff could proceed against the  insurer for breach of the duty owed to its insured by way of a creditors' suit under  Code of Civil Procedure, section 720 .",
263,Younger v. Jensen Reporter 147 Cal. Rptr. 410 *; 1978 Cal. App. LEXIS 1712 **; 82 Cal. App. 3d 689 Core Terms LexisNexisÂ® Headnotes,
